,trans,ABG,infexp,infforecastMA,infforecast12,infforecast2,infforecastMAspread,infforecast1spread,infforecast2spread,trans_low,trans_medium,trans_high,ABG_low,ABG_medium,ABG_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high,index,country,date,trans,ABG,infexp,infrate,infforecastMA,infforecast2,infforecast12,infforecastMAspread,infforecast2spread,infforecast1spread
22,10.5,0.0272108843537415,2.47,0.24,0.28216785699999997,0.597567281,0.423083916,0.310761086,0.39660622,0.0,0.0,1.0,0.9727891156462586,0.0272108843537415,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22,czechia,35,10.5,0.0272108843537415,2.47,1.0,0.24,0.597567281,0.28216785699999997,0.423083916,0.39660622,0.310761086
23,10.5,0.0131926121372032,2.76,0.46,0.682176595,1.2174093559999999,0.524086507,0.35228230899999996,0.39695176200000004,0.0,0.0,1.0,0.9868073878627969,0.0131926121372032,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,23,czechia,36,10.5,0.0131926121372032,2.76,1.0,0.46,1.2174093559999999,0.682176595,0.524086507,0.39695176200000004,0.35228230899999996
24,11.0,-0.0157894736842105,2.93,0.94,0.7216780559999999,0.973369343,0.8869423129999999,0.352243617,0.392832995,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24,czechia,37,11.0,-0.0157894736842105,2.93,2.3,0.94,0.973369343,0.7216780559999999,0.8869423129999999,0.392832995,0.352243617
25,11.0,0.0100502512562814,2.99,1.4,2.246568781,2.7888282689999997,0.956382071,0.45572943299999996,0.444933535,0.0,0.0,1.0,0.9899497487437187,0.0100502512562814,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5478611631285547,0.45213883687144524,25,czechia,38,11.0,0.0100502512562814,2.99,2.3,1.4,2.7888282689999997,2.246568781,0.956382071,0.444933535,0.45572943299999996
26,11.0,0.008108108108108109,3.04,1.82,2.137524263,2.204094715,0.888631907,0.455155506,0.445240001,0.0,0.0,1.0,0.991891891891892,0.008108108108108109,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,26,czechia,39,11.0,0.008108108108108109,3.04,2.5,1.82,2.204094715,2.137524263,0.888631907,0.445240001,0.455155506
27,11.0,-0.00540540540540541,3.01,2.08,2.3943101,2.591947295,0.701427117,0.460104215,0.442003916,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05418778009197642,0.9458122199080237,27,czechia,40,11.0,-0.00540540540540541,3.01,2.3,2.08,2.591947295,2.3943101,0.701427117,0.442003916,0.460104215
28,11.0,0.00247524752475248,2.98,2.42,2.166002266,2.245824688,0.601387285,0.45203743799999996,0.43884852799999996,0.0,0.0,1.0,0.9975247524752475,0.00247524752475248,0.0,0.0,0.0,1.0,0.0,0.06881968746645498,0.931180312533545,0.0,0.0,1.0,0.0,0.0,1.0,28,czechia,41,11.0,0.00247524752475248,2.98,2.7,2.42,2.245824688,2.166002266,0.601387285,0.43884852799999996,0.45203743799999996
29,11.0,0.0204081632653061,2.92,2.54,2.596856353,2.819444323,0.252982213,0.468139274,0.439223869,0.0,0.0,1.0,0.979591836734694,0.0204081632653061,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.30972754274831504,0.690272457251685,0.0,0.7710605363298233,0.22893946367017678,29,czechia,42,11.0,0.0204081632653061,2.92,2.9,2.54,2.819444323,2.596856353,0.252982213,0.439223869,0.468139274
30,11.0,-0.0157657657657658,2.88,2.72,2.79958074,2.919874815,0.356370594,0.461106287,0.434074419,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.551029173860513,0.4489708261394871,0.0,0.8255949609292581,0.1744050390707419,0.09186170217508287,0.9081382978249171,0.0,30,czechia,43,11.0,-0.0157657657657658,2.88,3.2,2.72,2.919874815,2.79958074,0.356370594,0.434074419,0.461106287
31,11.0,0.0021978021978022,2.85,2.9,3.13143261,3.2603421139999997,0.417931414,0.45910528,0.43102352899999996,0.0,0.0,1.0,0.9978021978021978,0.0021978021978022,0.0,0.0,0.0,1.0,0.11963685505583897,0.880363144944161,0.0,0.6130023379386964,0.3869976620613035,0.0,0.9520178978442722,0.047982102155727825,0.0,31,czechia,44,11.0,0.0021978021978022,2.85,3.4,2.9,3.2603421139999997,3.13143261,0.417931414,0.43102352899999996,0.45910528
