,IT_years,BN,inf,inf0,inf1,inf2,inf_spread0,inf_spread1,inf_spread2,IT_years_low,IT_years_medium,IT_years_high,BN_low,BN_medium,BN_high,inf_low,inf_medium,inf_high,survey_low,survey_high,survey_medium,inf0_low,inf0_medium,inf0_high,inf1_low,inf1_medium,inf1_high,inf2_low,inf2_medium,inf2_high
305,10.0,-10.0,3.9,3.73,3.98,4.04,0.49,0.37,0.54,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0279,0.5281,0.2202,0.0,0.6530612244897959,0.3469387755102041,0.21621621621621634,0.7837837837837837,0.0,0.25925925925925947,0.7407407407407406,0.0
306,10.0,10.0,4.3,3.6,4.2,4.42,0.27,0.37,0.53,0.5,0.5,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0,1.0,0.02535,0.52725,0.2242,0.0,0.0,1.0,0.0,0.7297297297297307,0.27027027027026923,0.22641509433962273,0.7735849056603773,0.0
307,10.0,50.0,4.1,3.67,4.03,4.1,0.37,0.37,0.53,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0194,0.56245,0.18489999999999998,0.0,0.0,1.0,0.0,0.8108108108108125,0.1891891891891875,1.5702324123894745e-12,0.9999999999968596,1.5702324123894747e-12
308,11.0,30.0,5.5,3.77,5.02,5.77,0.39,0.51,0.55,0.25,0.75,0.0,0.0,2.6261645717220658e-11,0.9999999999737383,0.0,0.0,1.0,0.029300000000000003,0.5728,0.1827,0.0,0.0,1.0,0.0,0.05882352941176348,0.9411764705882365,0.4909090909090903,0.5090909090909097,0.0
309,11.0,30.0,5.9,4.17,5.46,5.86,0.65,0.52,0.54,0.25,0.75,0.0,0.0,2.6261645717220658e-11,0.9999999999737383,0.0,0.0,1.0,0.023,0.5904,0.1734,0.0,0.0,1.0,0.0,0.15384615384615385,0.8461538461538463,0.0,0.9259259259259258,0.07407407407407414
310,11.0,30.0,5.5,4.55,5.16,5.39,0.85,0.52,0.54,0.25,0.75,0.0,0.0,2.6261645717220658e-11,0.9999999999737383,0.0,0.0,1.0,0.0171,0.5782499999999999,0.1943,0.0,0.0,1.0,0.0,0.34615384615384587,0.6538461538461541,0.0,0.7962962962962957,0.20370370370370428
311,11.0,10.0,5.7,4.87,5.54,5.72,0.79,0.52,0.54,0.25,0.75,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0,1.0,0.035,0.59595,0.15259999999999999,0.0,0.0,1.0,0.0,0.6923076923076923,0.3076923076923077,0.037037037037036244,0.9629629629629638,0.0
312,11.0,30.0,5.3,5.17,5.32,5.19,0.7,0.51,0.54,0.25,0.75,0.0,0.0,2.6261645717220658e-11,0.9999999999737383,0.0,0.0,1.0,0.043449999999999996,0.5714,0.1557,0.0,0.8142857142857145,0.18571428571428553,0.039215686274510726,0.9607843137254892,0.0,0.0,0.7962962962962974,0.20370370370370264
313,11.0,0.0,5.6,5.33,5.46,5.65,0.58,0.5,0.54,0.25,0.75,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.0,0.0,1.0,0.01645,0.6045,0.1663,0.0,0.5344827586206904,0.46551724137930955,0.0,0.7200000000000006,0.27999999999999936,0.0925925925925939,0.9074074074074061,0.0
314,11.0,10.0,5.8,5.58,5.79,5.78,0.19,0.49,0.54,0.25,0.75,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0,1.0,0.02335,0.5932999999999999,0.1891,0.0,0.0,1.0,0.0,0.9795918367346943,0.020408163265305677,0.0,0.9629629629629638,0.03703703703703625
