"";"year";"country";"gini";"e0"
"211";2013;"FIN";25.4;83.8255022430063
"212";2014;"FIN";25.6;83.8550311992963
"213";2015;"FIN";25.2;84.1717796267638
"214";2016;"FIN";25.4;84.1193439607548
"215";2017;"FIN";25.3;84.2277027680875
"216";2018;"FIN";25.9;84.3191407512803
"217";1995;"FRA";29;81.9039526800595
"218";1996;"FRA";29;82.0583875808902
"219";1997;"FRA";29;82.3131822207945
"220";1998;"FRA";28;82.4173199057714
"221";1999;"FRA";29;82.5207942347308
"222";2000;"FRA";28;82.8044819626118
"223";2001;"FRA";27;82.946050610008
"224";2002;"FRA";27;83.0422479830775
"225";2003;"FRA";NA;82.9517033453153
"226";2004;"FRA";28.2;83.8681935464369
"227";2005;"FRA";27.7;83.8223831420018
"228";2006;"FRA";27.3;84.179289058402
"229";2007;"FRA";26.6;84.3821238695299
"230";2008;"FRA";29.8;84.324062967326
"231";2009;"FRA";29.9;84.422872575872
"232";2010;"FRA";29.8;84.663108805385
"233";2011;"FRA";30.8;84.9986180467785
"234";2012;"FRA";30.5;84.8446878162244
"235";2013;"FRA";30.1;85.0506448201225
"236";2014;"FRA";29.2;85.4493522762596
"237";2015;"FRA";29.2;85.1535859342041
"238";2016;"FRA";29.3;85.3335286128051
"239";2017;"FRA";28.8;85.2928028727016
"240";2018;"FRA";28.5;NA
"241";1995;"GBR";32;79.1879051223722
"242";1996;"GBR";32;79.4038575123536
"243";1997;"GBR";30;79.5834739620997
"244";1998;"GBR";32;79.7171405899315
"245";1999;"GBR";32;79.7628323684283
"246";2000;"GBR";32;80.1937860851556
"247";2001;"GBR";35;80.4214523116532
"248";2002;"GBR";35;80.5186645810512
"249";2003;"GBR";NA;80.4907724358937
"250";2004;"GBR";NA;81.0639923108667
"251";2005;"GBR";34.6;81.1964890327974
"252";2006;"GBR";32.5;81.478118108646
"253";2007;"GBR";32.6;81.6185566777233
"254";2008;"GBR";33.9;81.6774867722584
"255";2009;"GBR";32.4;82.1974344796492
"256";2010;"GBR";32.9;82.336993892303
"257";2011;"GBR";33;82.7169305440834
"258";2012;"GBR";31.3;82.6647160498378
"259";2013;"GBR";30.2;82.7689485687299
"260";2014;"GBR";31.6;82.9911039019551
"261";2015;"GBR";32.4;82.7179614193427
"262";2016;"GBR";31.5;82.8471202024118
"263";2017;"GBR";33.1;NA
"264";2018;"GBR";34.2;NA
"265";1995;"HRV";NA;NA
"266";1996;"HRV";NA;NA
"267";1997;"HRV";NA;NA
"268";1998;"HRV";NA;NA
"269";1999;"HRV";NA;NA
"270";2000;"HRV";NA;NA
"271";2001;"HRV";NA;NA
"272";2002;"HRV";NA;78.3200318922001
"273";2003;"HRV";NA;78.2242586865614
"274";2004;"HRV";NA;78.8832684365042
"275";2005;"HRV";NA;78.8421274073787
"276";2006;"HRV";NA;79.242199712673
"277";2007;"HRV";NA;79.147261352315
"278";2008;"HRV";NA;79.5163770352335
"279";2009;"HRV";NA;79.5257347500873
"280";2010;"HRV";31.6;79.7861165013682
"281";2011;"HRV";31.2;80.2118413367728
"282";2012;"HRV";30.9;80.4928382434948
"283";2013;"HRV";30.9;80.8041811096172
"284";2014;"HRV";30.2;80.8873331895829
"285";2015;"HRV";30.4;80.4457309036012
"286";2016;"HRV";29.8;81.1746231567714
"287";2017;"HRV";29.9;80.8630774061595
"288";2018;"HRV";29.7;NA
"289";1995;"HUN";NA;74.720175893544
"290";1996;"HUN";NA;75.0011845051622
"291";1997;"HUN";NA;75.4498205218595
"292";1998;"HUN";NA;75.526631289796
"293";1999;"HUN";NA;75.4979931368644
"294";2000;"HUN";26;76.0331024218601
"295";2001;"HUN";25;76.5617407895611
"296";2002;"HUN";24;76.6843205108895
