"";"year";"country";"gini";"e0"
"208";2010;"FIN";25.4;76.7225302453829
"209";2011;"FIN";25.8;77.1892756173628
"210";2012;"FIN";25.9;77.5032186380926
"211";2013;"FIN";25.4;77.8743560596966
"212";2014;"FIN";25.6;78.1285469660732
"213";2015;"FIN";25.2;78.5940644374911
"214";2016;"FIN";25.4;78.42826748302
"215";2017;"FIN";25.3;78.7219976377303
"216";2018;"FIN";25.9;78.9474813244868
"217";1995;"FRA";29;73.8346967265736
"218";1996;"FRA";29;74.0631559114327
"219";1997;"FRA";29;74.5060887290889
"220";1998;"FRA";28;74.7223915632105
"221";1999;"FRA";29;74.9388282096249
"222";2000;"FRA";28;75.2345039961953
"223";2001;"FRA";27;75.4304275944126
"224";2002;"FRA";27;75.7052603261292
"225";2003;"FRA";NA;75.8080493298384
"226";2004;"FRA";28.2;76.674286201241
"227";2005;"FRA";27.7;76.7188880901482
"228";2006;"FRA";27.3;77.1606252922814
"229";2007;"FRA";26.6;77.3864461386733
"230";2008;"FRA";29.8;77.5887342903086
"231";2009;"FRA";29.9;77.747408640613
"232";2010;"FRA";29.8;78.0113917159664
"233";2011;"FRA";30.8;78.4233992131928
"234";2012;"FRA";30.5;78.4868645929089
"235";2013;"FRA";30.1;78.7645330308716
"236";2014;"FRA";29.2;79.2733059741953
"237";2015;"FRA";29.2;79.0153965874292
"238";2016;"FRA";29.3;79.3130414962545
"239";2017;"FRA";28.8;79.4397665953206
"240";2018;"FRA";28.5;NA
"241";1995;"GBR";32;73.9258924543502
"242";1996;"GBR";32;74.2182875585685
"243";1997;"GBR";30;74.5665449774969
"244";1998;"GBR";32;74.7159578401555
"245";1999;"GBR";32;74.8706503299809
"246";2000;"GBR";32;75.3752603196656
"247";2001;"GBR";35;75.6940326970893
"248";2002;"GBR";35;75.8451963351177
"249";2003;"GBR";NA;76.0637637234271
"250";2004;"GBR";NA;76.6291460159861
"251";2005;"GBR";34.6;76.9051751757535
"252";2006;"GBR";32.5;77.118190905478
"253";2007;"GBR";32.6;77.3529002932212
"254";2008;"GBR";33.9;77.5466596129224
"255";2009;"GBR";32.4;78.0263900611184
