,trans,ABG,infexp,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread,trans_low,trans_medium,trans_high,ABG_low,ABG_medium,ABG_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high,index,country,date,trans,ABG,infexp,infrate,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread
939,14.5,-2.93398533007335,1.89,1.74,1.8795605780000002,1.932817386,0.14023735199999998,0.244967895,0.332711789,0.0,0.0,0.0,0.15746312755390132,0.8425368724460987,0.0,0.7931034482758622,0.20689655172413784,0.0,0.7931034482758621,0.20689655172413784,0.0,0.7931034482758622,0.20689655172413784,0.0,0.7931034482758621,0.20689655172413784,0.0,939,sweden,208,14.5,-2.93398533007335,1.89,1.769739401,1.74,1.8795605780000002,1.932817386,0.14023735199999998,0.244967895,0.332711789
940,14.5,-2.93398533007335,1.87,1.79,1.833356467,1.7452181009999999,0.16917449899999998,0.202760478,0.332106235,0.0,0.0,0.0,0.15746312755390132,0.8425368724460987,0.0,0.8206896551724135,0.1793103448275864,0.0,0.8206896551724135,0.1793103448275864,0.0,0.8206896551724137,0.1793103448275864,0.0,0.8206896551724135,0.1793103448275864,0.0,940,sweden,209,14.5,-2.93398533007335,1.87,2.002138206,1.79,1.833356467,1.7452181009999999,0.16917449899999998,0.202760478,0.332106235
941,14.5,-2.93398533007335,1.93,1.9,1.928915528,1.972673932,0.221778547,0.205607218,0.331780115,0.0,0.0,0.0,0.15746312755390132,0.8425368724460987,0.0,0.7379310344827587,0.26206896551724135,0.0,0.7379310344827587,0.26206896551724135,0.0,0.7379310344827587,0.26206896551724135,0.0,0.7379310344827587,0.26206896551724135,0.0,941,sweden,210,14.5,-2.93398533007335,1.93,2.145631068,1.9,1.928915528,1.972673932,0.221778547,0.205607218,0.331780115
942,14.5,-3.76805526481055,1.96,2.01,2.001248521,2.103251366,0.204296798,0.21248326,0.331197822,0.0,0.0,0.0,0.2458595826231942,0.7541404173768057,0.0,0.6965517241379311,0.303448275862069,0.0,0.6965517241379311,0.303448275862069,0.0,0.696551724137931,0.30344827586206896,0.0,0.6965517241379311,0.303448275862069,0.0,942,sweden,211,14.5,-3.76805526481055,1.96,2.152717444,2.01,2.001248521,2.103251366,0.204296798,0.21248326,0.331197822
943,14.5,-3.76805526481055,2.03,2.03,2.094853224,2.106329784,0.145108467,0.19205242600000003,0.330427663,0.0,0.0,0.0,0.2458595826231942,0.7541404173768057,0.0,0.6000000000000002,0.3999999999999998,0.0,0.6000000000000002,0.3999999999999998,0.0,0.6000000000000002,0.3999999999999998,0.0,0.6000000000000002,0.3999999999999998,0.0,943,sweden,212,14.5,-3.76805526481055,2.03,2.0895811159999997,2.03,2.094853224,2.106329784,0.145108467,0.19205242600000003,0.330427663
944,14.5,2.14822771213749,2.12,2.17,2.028260711,2.04617338,0.223074472,0.186786895,0.32964979699999997,0.0,0.0,0.0,0.0,0.5123028543734461,0.4876971456265539,0.47586206896551697,0.5241379310344829,0.0,0.47586206896551697,0.524137931034483,0.0,0.47586206896551697,0.524137931034483,0.0,0.47586206896551697,0.524137931034483,0.0,944,sweden,213,14.5,2.14822771213749,2.12,2.453869191,2.17,2.028260711,2.04617338,0.223074472,0.186786895,0.32964979699999997
945,14.5,10.5432042172817,2.14,2.25,2.243409723,2.3965158019999997,0.18102298100000003,0.211864516,0.330040035,0.0,0.0,0.0,0.0,0.0,1.0,0.44827586206896525,0.5517241379310348,0.0,0.44827586206896525,0.5517241379310348,0.0,0.44827586206896525,0.5517241379310348,0.0,0.44827586206896525,0.5517241379310348,0.0,945,sweden,214,14.5,10.5432042172817,2.14,2.408123791,2.25,2.243409723,2.3965158019999997,0.18102298100000003,0.211864516,0.330040035
946,14.5,10.5432042172817,2.1,2.23,2.4104356019999997,2.342963697,0.168024272,0.21267311,0.32926823,0.0,0.0,0.0,0.0,0.0,1.0,0.5034482758620688,0.49655172413793125,0.0,0.5034482758620688,0.49655172413793125,0.0,0.5034482758620688,0.49655172413793125,0.0,0.5034482758620688,0.49655172413793125,0.0,946,sweden,215,14.5,10.5432042172817,2.1,2.065039081,2.23,2.4104356019999997,2.342963697,0.168024272,0.21267311,0.32926823
947,14.5,-1.31926121372032,2.09,2.23,1.9864206269999998,2.016294672,0.16742034,0.183016638,0.329055133,0.0,0.0,0.0,0.0,0.982510845227893,0.017489154772107024,0.517241379310345,0.4827586206896551,0.0,0.5172413793103449,0.4827586206896551,0.0,0.517241379310345,0.4827586206896551,0.0,0.5172413793103449,0.4827586206896551,0.0,947,sweden,216,14.5,-1.31926121372032,2.09,2.152811148,2.23,1.9864206269999998,2.016294672,0.16742034,0.183016638,0.329055133
948,14.5,-1.31926121372032,1.96,2.21,2.102782059,2.110465056,0.19654232100000002,0.185412667,0.328419084,0.0,0.0,0.0,0.0,0.982510845227893,0.017489154772107024,0.6965517241379311,0.303448275862069,0.0,0.6965517241379311,0.303448275862069,0.0,0.696551724137931,0.30344827586206896,0.0,0.6965517241379311,0.303448275862069,0.0,948,sweden,217,14.5,-1.31926121372032,1.96,1.9689621730000002,2.21,2.102782059,2.110465056,0.19654232100000002,0.185412667,0.328419084
949,14.5,-6.79611650485437,1.92,2.09,1.981015473,1.9326743000000002,0.23400539,0.188694707,0.327805383,0.0,0.0,0.0,0.5667797695340662,0.4332202304659339,0.0,0.7517241379310345,0.24827586206896549,0.0,0.7517241379310345,0.24827586206896546,0.0,0.7517241379310345,0.24827586206896549,0.0,0.7517241379310345,0.24827586206896549,0.0,949,sweden,218,14.5,-6.79611650485437,1.92,1.876262869,2.09,1.981015473,1.9326743000000002,0.23400539,0.188694707,0.327805383
950,14.5,-6.79611650485437,1.92,1.97,1.931489078,1.849545861,0.224127949,0.184558272,0.327075762,0.0,0.0,0.0,0.5667797695340662,0.4332202304659339,0.0,0.7517241379310345,0.24827586206896549,0.0,0.7517241379310345,0.24827586206896546,0.0,0.7517241379310345,0.24827586206896549,0.0,0.7517241379310345,0.24827586206896549,0.0,950,sweden,219,14.5,-6.79611650485437,1.92,1.7745803359999999,1.97,1.931489078,1.849545861,0.224127949,0.184558272,0.327075762
951,14.5,-9.97958720798367,1.85,1.97,1.894503407,1.7551770759999998,0.139374062,0.163955661,0.326368271,0.0,0.0,0.0,0.9041705724554611,0.09582942754453894,0.0,0.8482758620689653,0.15172413793103465,0.0,0.8482758620689654,0.15172413793103465,0.0,0.8482758620689653,0.15172413793103465,0.0,0.8482758620689653,0.15172413793103465,0.0,951,sweden,220,14.5,-9.97958720798367,1.85,2.0638257209999997,1.97,1.894503407,1.7551770759999998,0.139374062,0.163955661,0.326368271
952,14.5,-9.97958720798367,1.84,1.95,2.117499419,2.033376916,0.139683144,0.169173335,0.326283459,0.0,0.0,0.0,0.9041705724554611,0.09582942754453894,0.0,0.8620689655172412,0.13793103448275879,0.0,0.8620689655172412,0.13793103448275876,0.0,0.8620689655172412,0.13793103448275876,0.0,0.8620689655172412,0.13793103448275879,0.0,952,sweden,221,14.5,-9.97958720798367,1.84,2.067651263,1.95,2.117499419,2.033376916,0.139683144,0.169173335,0.326283459
953,14.5,-9.97958720798367,1.84,1.89,2.068077221,2.029460356,0.16814213100000003,0.154827258,0.325551525,0.0,0.0,0.0,0.9041705724554611,0.09582942754453894,0.0,0.8620689655172412,0.13793103448275879,0.0,0.8620689655172412,0.13793103448275876,0.0,0.8620689655172412,0.13793103448275876,0.0,0.8620689655172412,0.13793103448275879,0.0,953,sweden,222,14.5,-9.97958720798367,1.84,1.644330387,1.89,2.068077221,2.029460356,0.16814213100000003,0.154827258,0.325551525
954,12.0,-4.778672,2.7,1.18,1.175041249,1.175041249,0.391132861,0.28535953,0.28535953,0.0,1.0,0.0,0.3529668323918812,0.6470331676081188,0.0,0.0,0.70440251572327,0.29559748427673,0.0,0.70440251572327,0.29559748427673,0.0,0.70440251572327,0.29559748427673,0.0,0.7044025157232701,0.29559748427673,954,uk,13,12.0,-4.778672,2.7,1.515151515,1.18,1.175041249,1.175041249,0.391132861,0.28535953,0.28535953
955,12.0,-2.28676,2.64,1.21,1.441731523,1.441731523,0.277829522,0.287400445,0.287400445,0.0,1.0,0.0,0.08886884975204805,0.9111311502479519,0.0,0.0,0.7798742138364776,0.22012578616352235,0.0,0.7798742138364777,0.22012578616352238,0.0,0.7798742138364777,0.22012578616352235,0.0,0.7798742138364776,0.22012578616352238,955,uk,14,12.0,-2.28676,2.64,1.5130674,1.21,1.441731523,1.441731523,0.277829522,0.287400445,0.287400445
